dataset,model,model_size,train_type,lambda,seed,snr,n,wer,cer,ter,der,fcer,swdr,metric_version,prediction_sha256,benchmark_manifest_sha256,benchmark_manifest_format,wer_numerator,wer_denominator,cer_numerator,cer_denominator,ter_numerator,ter_denominator,der_numerator,der_denominator,fcer_numerator,fcer_denominator,swdr_numerator,swdr_denominator,ter_coverage,der_coverage,fcer_coverage
vivos,phowhisper,base,zero_shot,,42,clean,460,0.08798283261802575,0.038612961841308295,0.013638465094775775,0.009184845005740528,0.04598698481561822,0.004405286343612335,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,410,4660,765,19812,59,4326,40,4355,106,2305,1,227,0.9283261802575107,0.9345493562231759,0.4946351931330472
vivos,phowhisper,base,zero_shot,,42,20,460,0.08690987124463519,0.03876438522107813,0.013176144244105409,0.00759144237405107,0.05326981377219576,0.004405286343612335,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,405,4660,768,19812,57,4326,33,4347,123,2309,1,227,0.9283261802575107,0.9328326180257511,0.49549356223175967
vivos,phowhisper,base,zero_shot,,42,10,460,0.11201716738197424,0.05471431455683424,0.014140938015555032,0.009374267635340989,0.06631989596879063,0.004405286343612335,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,522,4660,1084,19812,60,4243,40,4267,153,2307,1,227,0.9105150214592275,0.9156652360515022,0.4950643776824034
vivos,phowhisper,base,zero_shot,,42,5,460,0.1555793991416309,0.08429234807187563,0.01642156862745098,0.011916342412451361,0.09944277753964852,0.004405286343612335,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,725,4660,1670,19812,67,4080,49,4112,232,2333,1,227,0.8755364806866953,0.8824034334763948,0.5006437768240344
vivos,phowhisper,base,zero_shot,,42,0,460,0.30085836909871244,0.1813547345043408,0.028888888888888888,0.012184990307394073,0.21660345554150864,0.00881057268722467,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1402,4660,3593,19812,104,3600,44,3611,514,2373,2,227,0.7725321888412017,0.774892703862661,0.5092274678111588
vivos,phowhisper,base,zero_shot,,42,noisy_all,1840,0.1638412017167382,0.0897814455885322,0.017724167641085604,0.010160984268837608,0.10963312593863977,0.005506607929515419,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,3054,18640,7115,79248,288,16249,166,16337,1022,9322,5,908,0.8717274678111588,0.8764484978540773,0.5001072961373391
vivos,phowhisper,base,zero_shot,,42,all,2300,0.1486695278969957,0.07954774883908743,0.01686512758201701,0.009955538372317803,0.09701556721424272,0.0052863436123348016,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,3464,23300,7880,99060,347,20575,206,20692,1128,11627,6,1135,0.8830472103004292,0.888068669527897,0.49901287553648066
vivos,phowhisper,small,zero_shot,,42,clean,460,0.0611587982832618,0.026600040379567938,0.01038374717832957,0.0036076662908680946,0.03566768160069596,0.00881057268722467,aligned_v1,5fe13634e06e4add0cbf8766aea23dadc9c04ea280c3106a83de8d1c72992f7c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,285,4660,527,19812,46,4430,16,4435,82,2299,2,227,0.9506437768240343,0.9517167381974249,0.49334763948497856
vivos,phowhisper,small,zero_shot,,42,20,460,0.062446351931330475,0.027609529578033514,0.010619069136918211,0.004062288422477996,0.035636679704476315,0.00881057268722467,aligned_v1,5fe13634e06e4add0cbf8766aea23dadc9c04ea280c3106a83de8d1c72992f7c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,291,4660,547,19812,47,4426,18,4431,82,2301,2,227,0.9497854077253219,0.9508583690987125,0.49377682403433476
vivos,phowhisper,small,zero_shot,,42,10,460,0.07296137339055794,0.03295982232990107,0.010737948366461046,0.005242762708000912,0.047660311958405546,0.00881057268722467,aligned_v1,5fe13634e06e4add0cbf8766aea23dadc9c04ea280c3106a83de8d1c72992f7c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,340,4660,653,19812,47,4377,23,4387,110,2308,2,227,0.9392703862660944,0.9414163090128755,0.49527896995708154
